"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"peg it",\N,"[""die""]",\N,\N,\N,"Hard",\N
"peg out","[""pegs out"",""pegging out"",""pegged out""]","[""to die"",""to fall down or have to go to bed because you are so tired"",""to fasten wet clothes on a line to dry"",""to mark a piece of land with metal or wooden pegs""]","[""I saw Mum across the room, chatting up a man who looked like he might peg out at any moment."",""John was pegging out the washing."",""`Thirty thousand a year peg out from it,\"" Seaton went on.""]",1,\N,"Hard",\N
"pen in","[""pens in"",""penning in"",""penned in""]","[""same as pen"",""to make it impossible for someone to get out of a place"",""to make someone feel that they cannot escape from a situation""]","[""A van was parked behind me, penning me in."",""We penned the sheep in for the night.""]",\N,\N,"Hard",\N
"pen up","[""pens up"",""penning up"",""penned up""]","[""same as pen""]","[""Before she left she penned up both dogs in the back yard.""]",\N,\N,"Hard",\N
"pencil in","[""pencils in"",""pencilling in"",""pencilled in""]","[""to arrange for something to happen or for someone to do something, knowing that it may have to be changed later""]","[""'No,' said Julia, thinking all the way back to the insouciant little girl poking her hard in the leg with a pencil in Year One."",""He was still wearing his school blazer, and there was a stub of pencil in the top pocket."",""Pencil me in for lunch on Friday."",""There was a pencil in his hand and he pointed at the picture.""]",2,\N,"Medium",\N
"pension off",\N,\N,\N,\N,\N,"Hard",\N
"pep up","[""peps up"",""pepping up"",""pepped up""]","[""to make someone or something more active and lively""]","[""A short break would pep you up."",""We need to look at ways of pepping up the economy.""]",0,\N,"Medium",\N
"perk up","[""perks up"",""perking up"",""perked up""]","[""if someone perks up, or if something perks them up, they begin to feel happier or more lively"",""to become more interesting or exciting, or to make something do this""]","[""He began to perk up, though, once the coffee started warming his gullet, and decided he'd have a"",""Some chilli sauce will perk it up."",""Sue perked up when she heard the news.""]",1,\N,"Medium",\N
"permit of","[""permits of"",""permitting of"",""permitted of""]","[""to make something possible""]","[""The results of the test permit of no other interpretation.""]",\N,\N,"Hard",\N
"peter out","[""peters out"",""petering out"",""petered out""]","[""to gradually become smaller or weaker before coming to an end or disappearing completely""]","[""The conversation soon petered out.""]",0,\N,"Medium",\N
"phase in","[""phases in"",""phasing in"",""phased in""]","[""to gradually start using something""]","[""But I was reaching the end of that phase in which I was able to keep my marital problems at bay by acting."",""She'd thought, in fact, to dig them out as part of the next phase in her campaign to move in with him."",""The new regulations can be phased in over a number of months."",""Turner had been scouting out suitable shipyards along the Dutch coast for the next phase in Brunner's project.""]",3,"[""ease in"",""incorporate"",""introduce"",""start""]","Medium",\N
"phase out","[""phases out"",""phasing out"",""phased out""]","[""to gradually stop using something""]","[""Over the following three years, the use of the drug will be phased out.""]",2,"[""close"",""eliminate"",""pull"",""remove""]","Medium",\N
"phone back","[""phones back"",""phoning back"",""phoned back""]","[""to phone someone again, or to phone someone who phoned you earlier when you were away or were too busy to speak to them""]","[""I’ve got someone at the door. I’ll phone you back."",""She’s not in at the moment. Can you phone back later?""]",\N,\N,"Medium",\N
"phone in","[""phones in"",""phoning in"",""phoned in""]","[""to telephone a radio or television programme with a question or comment"",""to telephone the place where you work in order to give a message""]","[""A phone-in programme was in progress, and the irritation he immediately felt at the banalities being exchanged kept his adrenaline flowing."",""Another reporter phoned in later with the story."",""It wasn't the most difficult thing in the world to pick up the phone in New York."",""Kevin’s just phoned in sick, so he won’t be at the meeting."",""The ski patroller was standing with the phone in her hand, looking at Huckmeyer who had his head down, defeated."",""To his left, a woman was seated at a writing desk, speaking on the phone in thoughtful, grave tones."",""You see, what I was doing was quite different from what that sad woman on the phone-in was doing."",""button on the radio, irritated by the inane phone-in that had just started.""]",2,\N,"Medium",\N
"phone round","[""phones round"",""phoning round"",""phoned round""]","[""to phone several people or companies in order to arrange something or to get information""]","[""I knew I could get a better deal if I phoned round a bit."",""It’s normal for companies to phone round their big customers and try to persuade them to invest.""]",\N,\N,"Hard",\N
"phone through","[""phones through"",""phoning through"",""phoned through""]","[""to give someone a particular piece of information using the phone""]","[""Just get the car’s registration number, and phone it through to the police.""]",\N,\N,"Hard",\N
"phone up","[""phones up"",""phoning up"",""phoned up""]","[""same as phone""]","[""He phoned up the editor and told her what he thought of her.""]",0,\N,"Medium",\N
"pick apart",\N,"[""criticise, find fault""]",\N,\N,\N,"Medium",\N
"pick at","[""picks at"",""picking at"",""picked at""]","[""same as pick"",""to eat only small amounts of a meal because you do not feel hungry""]","[""He blinked and stretched his eyes whenever the woman stopped watching him to pick at her food with an idle, preoccupied fork."",""He picked at a loose thread on his coat."",""Most of the time he just picks at his food."",""School was a sore spot and one that Joe had no wish to pick at."",""Smokes sat down on a fallen spruce trunk and began to pick at the bark with his fingers."",""The birds had been sensible enough not to pick at the drugs, however.""]",1,"[""have no appetite for"",""nibble (at)"",""peck at"",""play or toy with""]","Medium",\N
